subjID,cond_dummy,condition,include,filter_var,b_comm_neutral,w_comm_neutral,b_comm_ses,w_comm_ses,b_comm_host,w_comm_host,b_comm_other,w_comm_other,b_pers_neutral,w_pers_neutral,b_pers_ses,w_pers_ses,b_pers_host,w_pers_host,b_pers_other,w_pers_other
A150GMV1,1,Scarcity,1,1,38.13,73.25,71.33,13.83,67.17,19.33,65.75,55.75,41.63,63.25,62.83,31.83,56.33,35.67,65.75,55.75
AY6KEV47,1,Scarcity,1,1,44.38,60.88,66.67,34.17,53.83,36.5,79.25,71,35.25,73,37.17,34.5,47.5,42.67,79.25,71
A3O1NDWT,1,Scarcity,1,1,35,49.13,79,28.83,79.33,68.5,47,59.5,54,54.63,40.5,38.33,40.5,45.5,47,59.5
A18G2CLY,1,Scarcity,3,0,48.75,48,65.83,54.17,67.5,55,67.5,70,64.38,61.25,17.5,40.83,30,35,67.5,70
A14BSSXM,1,Scarcity,1,1,25.38,59.38,78.67,25.5,69.83,16.5,62.25,36,52.38,48.13,43,53.17,30.17,54.5,62.25,36
ATHS9CW2,1,Scarcity,1,1,59.63,51.63,62.67,24.17,71.33,37.5,71,46.25,61.88,52.5,22.17,22.17,26.67,27.5,71,46.25
A3U761PE,1,Scarcity,1,1,18,69.13,81.5,29,77.67,36,74,57.75,45,58.5,41.5,38,46.5,44.83,74,57.75
A1ZZ7YO3,1,Scarcity,3,0,40.5,54.25,76.83,33.5,73,33,59.25,37.75,59.13,59.13,28.33,23.33,19,23.67,59.25,37.75
A94DL4GI,1,Scarcity,1,1,40.63,59.38,85.5,34.83,84.83,28.33,45.5,58,47,58.88,68.17,28.17,71.83,26.5,45.5,58
AHPQVIEI,1,Scarcity,1,0,46.5,75.63,90.83,22.83,89.5,29.5,69.25,54.5,49.63,50.38,48.33,63,49.83,52.83,69.25,54.5
A36SM7QM,1,Scarcity,2.3,0,40.88,64,54.33,23.67,56.83,40.33,61.25,44.5,56.88,61.25,21,34.17,17.83,28.17,61.25,44.5
A1KAGE2A,1,Scarcity,1,1,22,26.88,75.5,48.5,84.83,38.17,74,47.5,34.63,28.88,52.83,35.67,62.83,39.67,74,47.5
AMPMTF5I,1,Scarcity,2,1,37.5,50.75,55.83,50.67,60.33,50.83,7.25,5.25,6.13,4.75,7,5.67,5.17,4.83,7.25,5.25
A1727A5V,1,Scarcity,3,0,56.75,49.13,29.83,65.83,54.5,57.33,67,34,52.13,53.5,65,63.17,61.83,47.17,67,34
A1WAIQEB,1,Scarcity,2,1,29.63,61.25,75.17,44.33,75,55.83,55.25,54.25,55.88,57.63,16.67,19.5,20,23.33,55.25,54.25
A2AMQX0B,1,Scarcity,1,1,30,73.25,75.33,21,83.67,25.67,53,49,53,51.5,21.67,47.67,37.83,67.17,53,49
A3VEMATA,1,Scarcity,1,0,44.63,56.63,57.67,18.17,56.5,38,70,29.25,33.13,67.63,45.17,10.83,39.5,34.83,70,29.25
APGX2WZ5,1,Scarcity,1,1,46.38,59.88,45,10.83,45,12.83,62.75,43.5,51.5,52.5,13.67,17.17,15,8.5,62.75,43.5
AH31QLJ5,1,Scarcity,1,0,52.13,58.5,20.67,45.17,15.17,61.5,95.75,47,59.88,47.63,13.33,47,15,47.33,95.75,47
A3I40B0F,1,Scarcity,1,1,33.5,51.75,80.67,12.83,84.67,13.67,50.75,59.25,51.5,50,47.17,20,48.67,23.17,50.75,59.25
A1VL7507,1,Scarcity,1,0,27.5,54.75,77.17,26.83,85.33,30.33,80.5,55.25,30,56.88,79.17,33.83,82,34,80.5,55.25
A8028AFB,1,Scarcity,2,1,55.25,67.38,21.5,15.33,29.5,15.83,61.25,44.25,60.63,64.25,17.5,12.83,17.5,14.33,61.25,44.25
A1YIH5JU,1,Scarcity,1,1,33.38,51.88,80.17,57.83,72.83,73.83,65.5,58,59,56.5,3.83,52.67,5.67,57.67,65.5,58
A1F9KLZG,1,Scarcity,1,1,25.88,65.63,81.33,23,88.67,55.17,86.25,63.5,24.88,48.25,69.83,43.17,82.83,68.67,86.25,63.5
AAASQIW3,1,Scarcity,1,1,36,50.38,70.83,15,59.83,24.5,45.25,27,43.75,50.13,4.5,29.17,0.83,25,45.25,27
A2ET3KM3,1,Scarcity,1,1,23.38,55.88,93.17,31.83,92.17,31.83,67.75,42.25,44.63,55.25,56.5,53.33,49.33,39.5,67.75,42.25
