subj_id,CEH_like,CEL_like,SEH_like,SEL_like,CEH_wealthy,CEL_wealthy,SEH_wealthy,SEL_wealthy,CEH_hostile,CEL_hostile,SEH_hostile,SEL_hostile,CEH_positive,CEL_positive,SEH_positive,SEL_positive,CEH_educated,CEL_educated,SEH_educated,SEL_educated,CEH_aggressive,CEL_aggressive,SEH_aggressive,SEL_aggressive,CSH_like,CSL_like,SSH_like,SSL_like,CSH_wealthy,CSL_wealthy,SSH_wealthy,SSL_wealthy,CSH_hostile,CSL_hostile,SSH_hostile,SSL_hostile,CSH_positive,CSL_positive,SSH_positive,SSL_positive,CSH_educated,CSL_educated,SSH_educated,SSL_educated,CSH_aggressive,CSL_aggressive,SSH_aggressive,SSL_aggressive,CHH_like,CHL_like,SHH_like,SHL_like,CHH_wealthy,CHL_wealthy,SHH_wealthy,SHL_wealthy,CHH_hostile,CHL_hostile,SHH_hostile,SHL_hostile,CHH_positive,CHL_positive,SHH_positive,SHL_positive,CHH_educated,CHL_educated,SHH_educated,SHL_educated,CHH_aggressive,CHL_aggressive,SHH_aggressive,SHL_aggressive,gender,age,race
55,6,7,5,9,3,4,6,9,1,9,8,8,4,7,9,7,7,6,7,5,7,8,8,1,4,8,4,4,7,8,6,4,2,5,5,1,8,10,1,9,7,8,3,4,1,8,1,3,10,4,2,10,7,10,7,6,5,3,4,2,5,9,4,9,7,4,7,8,6,10,8,2,Female,40,"White,Hispanic"
61,9,5,6,6,5,3,3,4,7,5,5,6,4,6,6,5,4,6,5,5,6,2,3,3,4,5,5,6,7,5,5,7,4,5,5,6,7,5,6,6,6,4,6,7,5,5,8,7,7,6,5,5,7,5,6,6,6,5,5,6,7,5,5,6,6,6,5,5,5,4,5,5,Male,20,"White,Hispanic"
69,7,4,8,7,7,9,7,5,4,5,7,4,4,8,5,7,9,5,8,5,4,7,5,9,8,4,6,7,5,7,3,7,8,3,5,8,8,4,6,8,4,7,4,7,6,3,6,5,4,6,5,8,7,3,7,5,5,6,4,8,8,5,6,4,5,7,4,9,6,2,6,7,Male,29,"White,Hispanic"
1,3,2,3,2,3,1,2,3,2,2,1,3,3,2,3,2,3,2,3,3,3,2,3,3,3,2,2,3,2,1,2,2,3,2,3,3,2,1,2,2,3,2,2,3,3,2,2,3,3,2,3,3,4,2,3,2,2,2,3,2,2,4,3,3,4,2,2,2,9,9,9,8,Female,23,White
2,9,9,7,9,8,8,8,8,2,2,3,2,9,9,6,9,6,6,6,6,9,3,6,3,2,9,6,9,5,6,5,6,10,2,2,2,7,10,7,10,6,6,6,6,10,4,7,4,3,8,8,8,7,7,7,7,2,2,2,2,8,8,6,8,6,6,6,6,4,3,3,3,Female,39,White
3,4,5,6,7,3,7,5,6,4,8,5,5,3,6,8,7,5,3,8,6,3,7,6,4,3,8,4,6,3,7,4,6,8,6,7,6,2,6,4,7,4,7,5,7,8,7,5,6,4,5,6,6,3,4,6,6,8,5,6,5,3,4,8,5,3,4,5,6,3,6,8,6,Male,50,White
4,3,7,5,5,3,5,4,3,8,4,7,5,6,7,5,5,4,7,6,7,4,5,7,6,3,6,4,5,3,5,4,3,7,4,7,5,4,6,5,5,4,7,6,5,7,5,6,5,5,4,5,4,4,3,3,3,8,5,5,6,4,7,7,5,4,5,6,4,7,4,5,7,Male,56,White
5,4,9,8,9,2,7,4,7,9,7,3,4,4,8,5,5,3,9,4,4,7,7,4,3,1,9,2,7,4,3,2,7,10,4,7,5,3,8,1,5,2,4,3,7,10,3,8,5,8,9,7,8,2,8,4,5,4,9,3,5,7,8,5,7,5,4,7,5,7,3,4,3,Female,28,White
6,8,9,4,9,8,5,3,7,9,5,3,8,9,4,7,8,9,3,7,6,8,3,8,6,5,7,3,6,8,6,3,8,9,5,3,8,8,4,8,3,9,6,10,5,9,9,5,7,9,5,9,9,9,4,7,5,6,9,4,8,9,6,4,8,9,4,7,4,9,5,7,8,Male,53,White
7,9,9,7,7,7,5,5,4,3,5,4,7,8,6,5,6,7,8,8,7,3,2,5,6,8,8,6,6,4,6,7,6,4,3,7,7,8,9,6,5,3,8,6,8,3,3,6,5,8,9,7,6,3,3,6,5,7,7,3,4,8,8,8,6,8,8,8,7,2,3,2,5,Female,62,White
8,1,1,1,1,1,1,1,1,8,8,8,9,1,1,1,1,3,3,3,2,9,9,9,9,1,1,1,1,1,1,1,1,9,8,8,8,1,1,1,1,1,2,1,1,8,9,8,8,1,1,1,1,1,1,1,1,8,8,9,8,1,1,1,1,1,1,1,1,8,10,10,9,Male,27,White
9,4,7,5,8,5,8,7,9,5,8,7,10,4,8,6,4,4,8,6,5,6,9,6,8,9,6,7,8,5,9,7,3,5,8,7,6,5,8,7,6,6,9,7,9,5,6,9,7,6,4,7,8,9,5,7,8,9,5,7,6,5,7,9,7,5,8,6,9,5,7,9,5,Male,30,White
10,4,7,5,3,4,7,5,4,7,4,9,6,3,8,6,7,4,7,6,4,8,6,8,5,3,9,4,8,4,8,2,6,8,6,8,3,4,5,2,3,3,6,2,3,8,5,8,6,4,8,6,9,4,3,5,4,8,3,9,7,4,7,2,4,4,5,3,8,5,3,8,9,Female,21,White
12,8,9,5,7,8,9,8,5,3,2,3,7,9,8,6,4,9,7,4,5,3,5,3,7,7,9,8,5,3,9,7,4,7,8,4,9,8,7,7,4,8,9,5,3,3,4,6,8,4,3,7,7,8,9,9,9,8,2,3,9,4,2,9,7,8,4,9,7,8,9,2,7,Female,64,White
13,4,4,4,5,3,4,3,3,7,6,6,7,5,6,4,5,8,5,7,6,6,4,6,4,6,3,5,4,4,2,5,3,6,5,6,7,6,4,5,5,6,4,5,4,5,7,6,4,7,5,4,5,7,4,6,6,7,4,5,6,5,5,4,5,4,5,2,4,8,7,6,8,Male,30,White
14,7,9,3,4,5,3,2,5,7,3,8,5,7,9,5,8,6,9,8,7,4,2,2,3,1,10,9,5,1,6,6,3,9,2,5,3,2,9,8,9,3,8,9,6,9,3,1,2,8,10,9,3,4,2,2,3,2,7,6,2,8,9,9,10,8,4,6,8,3,2,2,7,Female,46,White
17,4,7,4,5,3,6,6,7,8,4,8,6,3,7,4,5,3,5,5,8,5,5,4,4,3,7,4,4,3,7,3,5,7,4,8,5,3,7,2,5,3,7,4,5,8,6,7,5,3,6,6,5,4,5,4,3,5,4,5,6,3,7,2,4,3,6,6,6,3,4,7,6,Female,58,White
20,2,2,2,2,2,2,2,2,3,3,3,3,1,1,1,1,1,1,1,1,3,5,3,4,9,9,9,9,7,7,7,7,7,7,7,7,3,3,3,3,6,6,6,6,3,3,3,3,5,5,5,5,5,5,5,5,4,4,4,4,8,8,8,8,6,6,6,6,10,9,8,8,Male,50,White
22,2,2,2,3,2,3,2,2,8,7,9,9,2,4,3,2,2,2,2,2,8,7,9,9,2,4,3,2,1,4,1,2,9,7,9,9,2,4,3,2,2,4,2,4,9,7,9,9,1,1,2,1,1,1,2,1,9,9,10,10,2,1,1,1,2,3,2,2,9,8,7,9,Male,42,White
24,7,6,5,7,7,7,5,6,3,3,4,4,4,7,4,6,4,8,5,7,4,2,6,5,7,8,4,5,4,7,3,6,9,5,9,9,3,6,4,5,3,7,2,6,8,4,8,8,8,7,8,7,8,7,8,8,6,7,6,6,7,7,7,7,8,8,8,8,3,3,3,3,Female,59,White
27,3,3,3,3,4,3,2,2,7,7,8,10,4,4,4,4,4,3,1,1,8,9,10,10,4,4,4,4,3,3,3,3,6,7,8,10,4,3,3,2,4,4,3,2,6,6,8,9,1,1,1,1,3,3,2,2,8,8,9,10,3,3,3,3,4,4,4,2,8,8,8,10,Female,38,White
29,6,6,5,7,5,4,6,7,6,5,5,7,5,6,4,6,6,5,5,6,4,4,6,6,6,7,6,7,6,4,7,7,5,4,6,7,7,5,7,4,6,7,5,6,5,6,6,5,5,5,6,6,6,5,6,6,5,4,5,5,6,5,5,7,6,5,5,6,5,4,6,5,Male,34,White
31,6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,Male,27,White
33,4,7,6,6,6,7,4,5,7,6,7,6,3,5,6,4,7,5,4,6,7,5,4,6,4,7,4,5,4,6,5,5,7,4,6,8,4,5,4,6,5,7,3,5,6,8,4,7,6,7,8,6,4,5,6,4,7,5,6,8,5,4,7,4,4,6,7,5,7,5,8,7,Male,43,White
34,4,7,4,7,3,6,3,6,5,5,5,5,3,7,3,7,7,7,7,7,4,4,6,4,4,8,4,8,4,7,4,6,7,4,7,4,4,6,4,6,7,7,7,7,7,4,7,5,4,7,5,7,3,7,3,7,4,4,4,4,3,7,7,3,7,7,7,7,6,4,4,4,Female,45,White
36,6,5,4,7,4,3,7,4,8,2,5,4,4,7,5,8,5,9,3,7,8,3,7,4,5,7,4,6,3,7,5,6,3,6,4,8,3,7,4,6,3,4,3,5,4,3,4,3,5,4,8,6,3,6,7,4,6,8,4,6,4,6,5,8,2,3,5,4,2,5,4,7,Female,51,White
37,7,7,7,5,5,5,5,5,4,3,3,4,8,7,6,8,6,7,6,8,2,3,3,5,6,7,8,7,5,4,4,4,4,4,3,3,5,5,5,5,6,6,6,6,4,3,2,3,7,7,7,7,4,5,6,5,4,4,3,3,8,8,9,7,7,7,8,7,5,2,2,5,Female,30,White
38,4,5,4,8,5,5,6,6,5,5,5,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,5,5,4,5,6,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,7,5,6,5,4,6,5,4,6,4,5,4,8,5,8,5,5,Male,26,White
39,5,6,5,5,4,5,5,4,5,4,6,5,6,7,6,6,5,6,7,6,5,4,6,6,5,7,6,6,4,5,5,6,7,5,6,6,5,6,5,6,4,6,5,6,7,6,8,7,6,7,6,7,4,5,5,4,5,4,6,5,6,7,7,6,6,5,6,7,5,6,8,7,Female,55,White
40,8,9,8,8,6,6,6,7,7,6,6,6,8,7,7,7,8,8,6,7,7,5,7,5,6,9,6,9,4,8,6,7,9,4,5,4,2,6,4,8,3,8,6,8,9,3,8,8,10,9,7,9,6,6,6,6,5,5,6,5,9,8,7,8,8,8,8,8,6,6,5,6,Female,65,White
41,7,1,3,2,3,3,2,6,4,5,5,8,5,5,2,6,3,6,8,6,3,9,9,8,2,4,5,2,2,5,3,2,9,4,4,7,1,2,5,5,3,7,3,2,10,3,7,7,1,2,6,3,2,2,1,5,7,6,3,7,2,3,6,6,2,3,6,5,10,8,3,7,Female,32,White
42,6,6,6,6,6,5,5,6,5,5,4,4,6,7,8,7,8,5,6,5,3,3,3,3,5,6,5,6,4,6,5,5,6,4,5,5,4,6,4,5,5,6,4,6,6,5,4,4,6,6,6,6,5,5,6,6,5,4,4,4,6,6,7,6,5,5,7,5,5,5,3,5,Male,27,White
43,10,9,10,9,10,8,9,6,10,9,8,7,10,9,9,9,10,9,10,9,10,9,10,9,8,9,10,8,8,7,9,8,9,8,9,8,9,4,8,9,10,8,9,10,10,9,9,10,9,9,9,8,10,9,10,9,8,9,9,8,10,9,10,7,10,9,10,9,10,8,10,9,Female,29,White
44,8,10,5,9,6,9,7,10,8,10,6,8,8,10,6,9,8,10,7,10,8,10,7,9,8,10,7,10,8,10,7,9,8,10,7,9,6,9,5,10,8,10,6,9,8,10,6,8,8,10,6,7,8,10,6,8,7,9,5,10,7,10,9,5,8,10,6,8,8,10,6,7,Female,27,White
45,6,10,8,9,8,10,7,9,8,10,7,9,10,8,5,9,8,10,6,9,7,10,9,10,8,10,9,10,8,10,10,10,7,10,7,8,7,10,6,9,8,10,7,9,7,10,7,9,6,9,7,10,7,9,7,10,8,10,7,9,7,10,6,9,8,10,6,9,8,10,9,7,Female,28,White
46,5,7,5,7,4,7,3,6,8,6,8,6,6,7,6,7,7,8,5,6,6,7,7,5,4,7,3,5,3,7,3,4,8,6,8,6,4,6,3,6,3,5,3,5,8,7,8,6,7,7,7,7,5,5,5,6,6,6,6,5,6,8,5,6,4,4,4,5,7,7,7,7,Male,30,White
47,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,Male,22,White
50,3,8,8,3,3,8,6,5,7,3,3,7,3,8,7,8,5,8,4,8,6,4,7,3,3,8,5,8,3,8,8,6,7,3,6,5,3,8,5,7,3,9,7,7,8,4,6,3,8,7,8,6,4,8,8,5,5,3,5,5,7,7,7,4,7,5,8,7,6,4,8,4,Male,34,White
51,9,8,9,10,8,9,8,7,9,7,10,8,8,9,5,10,8,10,6,9,9,2,10,5,10,8,9,7,8,9,8,7,8,9,9,10,8,10,9,8,8,10,9,8,9,10,6,9,10,9,7,7,8,10,9,7,8,9,9,7,9,10,9,8,8,9,9,10,9,7,10,8,Female,19,White
52,9,8,4,4,7,6,3,3,3,2,6,7,7,7,4,3,9,9,4,4,6,6,8,5,7,7,5,6,7,8,4,3,6,6,2,4,3,6,5,4,8,9,4,4,3,2,7,8,8,5,4,2,7,7,4,3,2,2,7,8,8,7,4,2,8,9,6,3,2,2,8,9,Female,29,White
53,3,8,5,4,2,5,6,4,4,3,2,5,2,10,7,6,4,9,7,5,7,2,7,7,4,9,3,4,3,8,2,6,7,2,6,5,3,9,4,4,3,9,4,5,5,2,5,6,4,6,7,4,3,5,5,4,7,3,4,5,4,7,6,5,5,6,8,6,3,3,3,4,Male,31,White
54,4,7,4,4,5,6,5,6,6,7,6,7,6,6,6,5,6,6,6,6,2,2,3,4,4,5,5,5,4,5,5,4,7,4,4,5,5,6,6,5,6,6,6,6,4,2,2,4,5,5,5,5,5,5,5,5,6,7,6,7,5,6,6,4,6,6,6,5,7,7,4,7,Female,33,White
56,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,Female,28,White
57,4,7,8,5,5,5,5,5,6,3,3,6,7,8,8,6,7,6,6,5,3,2,2,5,4,7,5,6,8,6,4,4,7,4,4,6,7,6,5,6,4,4,4,6,5,4,3,5,6,8,9,5,4,4,5,3,4,8,8,4,5,7,7,4,7,6,7,6,5,5,3,6,Other,39,White
58,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,7,7,7,7,1,1,1,1,3,6,6,6,6,6,6,6,6,6,6,6,2,7,4,6,6,6,6,6,1,1,1,1,6,6,6,6,6,6,6,6,2,2,8,8,6,6,6,6,6,6,6,6,1,1,1,1,Female,32,White
59,6,8,7,6,8,7,6,7,3,7,8,6,6,7,6,7,6,7,7,7,6,7,7,8,8,7,8,7,7,8,7,6,7,7,8,7,6,4,5,5,5,6,6,5,5,6,5,6,7,7,6,7,6,7,6,5,6,5,4,6,8,6,5,6,6,7,5,6,7,6,6,7,Male,35,White
60,3,7,8,6,2,3,5,8,7,4,2,3,3,4,9,8,3,7,7,7,7,3,4,5,3,8,7,8,2,8,5,7,9,2,4,3,2,4,7,8,3,5,6,8,7,3,4,6,2,4,8,7,2,4,8,7,7,5,2,3,3,4,7,6,3,4,8,7,8,3,2,4,Male,35,White
62,6,7,6,3,6,7,6,5,3,5,6,5,9,10,9,7,8,9,6,7,4,3,6,5,8,8,6,7,6,7,6,7,6,7,4,7,8,9,6,7,6,7,6,8,3,1,5,2,4,5,8,4,4,5,6,5,6,4,4,6,4,5,6,5,8,8,9,7,3,5,6,3,Female,58,White
63,6,6,6,6,7,7,3,5,6,4,5,8,8,5,4,5,8,7,8,4,9,8,6,9,3,8,3,5,3,6,3,3,3,5,2,4,4,7,6,5,3,8,3,7,7,4,8,6,4,5,6,4,3,3,7,3,8,8,5,8,3,5,6,2,7,7,6,3,6,5,4,9,Female,41,White
64,4,7,5,6,1,4,2,3,8,5,6,4,3,7,4,7,4,6,4,6,5,4,6,5,3,8,3,5,4,5,2,3,8,3,9,2,5,2,6,3,2,5,3,4,8,2,6,3,7,5,6,5,3,4,4,3,6,5,3,4,6,7,6,9,3,4,2,4,3,4,5,8,Female,36,White
66,3,5,6,7,1,3,6,5,8,3,6,5,7,4,5,3,6,2,3,6,3,4,7,6,8,4,6,3,3,8,5,9,4,7,6,8,3,6,5,8,7,4,6,9,7,3,4,9,4,7,7,10,7,4,5,3,7,3,5,5,4,8,7,9,3,8,7,10,3,7,6,8,Female,27,White
